EP loss_train loss_valid
0 62.766868591308594 62.766815185546875
1 61.277347564697266 61.27763748168945
2 60.04338836669922 60.04423141479492
3 58.94545364379883 58.94611358642578
4 57.94097137451172 57.941795349121094
5 57.012451171875 57.01307678222656
6 56.13076400756836 56.13124084472656
7 55.263179779052734 55.263797760009766
8 54.43303680419922 54.43378448486328
9 53.63749313354492 53.638309478759766
10 52.87068176269531 52.87161636352539
11 52.12283706665039 52.12382507324219
12 51.393218994140625 51.39431381225586
13 50.68525314331055 50.68642807006836
14 49.995418548583984 49.99678039550781
15 49.31191635131836 49.312808990478516
16 48.63412857055664 48.63534927368164
17 47.9737434387207 47.975181579589844
18 47.328983306884766 47.330570220947266
19 46.69778060913086 46.69955825805664
20 46.07828903198242 46.08011245727539
21 45.46903610229492 45.470924377441406
22 44.86383819580078 44.86634063720703
23 44.25611114501953 44.25886917114258
24 43.656654357910156 43.65962219238281
25 43.068153381347656 43.071163177490234
26 42.48873519897461 42.4918098449707
27 41.91791534423828 41.921112060546875
28 41.35195541381836 41.35517501831055
29 40.792293548583984 40.795562744140625
30 40.2396240234375 40.24296951293945
31 39.69353103637695 39.69688034057617
32 39.15359115600586 39.156951904296875
33 38.619266510009766 38.622764587402344
34 38.08784103393555 38.091346740722656
35 37.560420989990234 37.564083099365234
36 37.03820037841797 37.041927337646484
37 36.52016067504883 36.52385711669922
38 36.007568359375 36.01128005981445
39 35.50003433227539 35.503944396972656
40 34.9962043762207 35.0000114440918
41 34.49712371826172 34.50112533569336
42 34.00310134887695 34.00716018676758
43 33.51423263549805 33.51824951171875
44 33.032875061035156 33.037105560302734
45 32.560302734375 32.56467056274414
46 32.09303283691406 32.09739303588867
47 31.629863739013672 31.634321212768555
48 31.170812606811523 31.17513084411621
49 30.71561050415039 30.72003936767578
50 30.26451301574707 30.268983840942383
51 29.81736946105957 29.821552276611328
52 29.37432289123535 29.378372192382812
53 28.935144424438477 28.9396915435791
54 28.499208450317383 28.50392723083496
55 28.066524505615234 28.07097053527832
56 27.636842727661133 27.641437530517578
57 27.21091079711914 27.215333938598633
58 26.789180755615234 26.7936954498291
59 26.371471405029297 26.37604331970215
60 25.95775032043457 25.962255477905273
61 25.54816436767578 25.55228614807129
62 25.142276763916016 25.146638870239258
63 24.74101448059082 24.744888305664062
64 24.34305191040039 24.347627639770508
65 23.95005226135254 23.95419692993164
66 23.561433792114258 23.56593132019043
67 23.176959991455078 23.181726455688477
68 22.79663848876953 22.800622940063477
69 22.420745849609375 22.42465591430664
70 22.049484252929688 22.05325698852539
71 21.68250274658203 21.686397552490234
72 21.32036018371582 21.32389259338379
73 20.962047576904297 20.96568489074707
74 20.608875274658203 20.612659454345703
75 20.260574340820312 20.26438331604004
76 19.916114807128906 19.920307159423828
77 19.57749366760254 19.58041763305664
78 19.243000030517578 19.24629020690918
79 18.913185119628906 18.91788101196289
80 18.588560104370117 18.592927932739258
81 18.26913070678711 18.272689819335938
82 17.954627990722656 17.958011627197266
83 17.645851135253906 17.648921966552734
84 17.34209632873535 17.344951629638672
85 17.042675018310547 17.04596519470215
86 16.749439239501953 16.75321388244629
87 16.461009979248047 16.46440315246582
88 16.17739486694336 16.18207550048828
89 15.900460243225098 15.903502464294434
90 15.626458168029785 15.62913990020752
91 15.35883903503418 15.361672401428223
92 15.096508026123047 15.098556518554688
93 14.836450576782227 14.839864730834961
94 14.58120346069336 14.584071159362793
95 14.328325271606445 14.329365730285645
96 14.079924583435059 14.082100868225098
97 13.833900451660156 13.836636543273926
98 13.592691421508789 13.594759941101074
99 13.353288650512695 13.357453346252441
100 13.116856575012207 13.12071704864502
101 12.881814002990723 12.886007308959961
102 12.648734092712402 12.651223182678223
103 12.416618347167969 12.419085502624512
104 12.184609413146973 12.189249038696289
105 11.955198287963867 11.958043098449707
106 11.727112770080566 11.730934143066406
107 11.500444412231445 11.50385570526123
108 11.275341987609863 11.278238296508789
109 11.051732063293457 11.054532051086426
110 10.829507827758789 10.831747055053711
111 10.609261512756348 10.611257553100586
112 10.390047073364258 10.391940116882324
113 10.172938346862793 10.174946784973145
114 9.957539558410645 9.959632873535156
115 9.743207931518555 9.746631622314453
116 9.530721664428711 9.534502983093262
117 9.32045841217041 9.322148323059082
118 9.111245155334473 9.114301681518555
119 8.904096603393555 8.906582832336426
120 8.698653221130371 8.701130867004395
121 8.493263244628906 8.496833801269531
122 8.291033744812012 8.294818878173828
123 8.090733528137207 8.092672348022461
124 7.892507553100586 7.895197868347168
125 7.694491863250732 7.6970062255859375
126 7.499312400817871 7.5014519691467285
127 7.305568695068359 7.307402610778809
128 7.113761901855469 7.116914749145508
129 6.923602104187012 6.9257707595825195
130 6.7348246574401855 6.73804235458374
131 6.548339366912842 6.551040172576904
132 6.36436128616333 6.3663105964660645
133 6.181168079376221 6.183510780334473
134 6.000527858734131 6.00090217590332
135 5.821862697601318 5.823407173156738
136 5.6444926261901855 5.647241592407227
137 5.469358921051025 5.471310138702393
138 5.297823429107666 5.299239158630371
