EP loss_test loss_valid
0 5.554903984069824 5.554901123046875
1 5.532802581787109 5.53279972076416
2 5.510756969451904 5.510754108428955
3 5.488763332366943 5.488760471343994
4 5.466824054718018 5.466821193695068
5 5.444939136505127 5.444936275482178
6 5.423109531402588 5.423106670379639
7 5.401333332061768 5.40132999420166
8 5.379614353179932 5.379611015319824
9 5.357950210571289 5.35794734954834
10 5.336342811584473 5.336339950561523
11 5.314788818359375 5.314785957336426
12 5.293290615081787 5.29328727722168
13 5.27184534072876 5.2718424797058105
14 5.250455856323242 5.250452995300293
15 5.229122638702393 5.229119300842285
16 5.207843780517578 5.207840919494629
17 5.186622142791748 5.186619281768799
18 5.165454387664795 5.165451526641846
19 5.144343852996826 5.144340991973877
20 5.123288154602051 5.123285293579102
21 5.102284908294678 5.1022820472717285
22 5.081336975097656 5.081334114074707
23 5.060445308685303 5.060441970825195
24 5.039608001708984 5.039604663848877
25 5.018823623657227 5.018820762634277
26 4.998094081878662 4.998090744018555
27 4.977420330047607 4.977417469024658
28 4.9567999839782715 4.956796646118164
29 4.936233043670654 4.936230182647705
30 4.915724277496338 4.915721416473389
31 4.895269393920898 4.895266532897949
32 4.874872207641602 4.874869346618652
33 4.854529857635498 4.854526996612549
34 4.834244251251221 4.8342413902282715
35 4.814016342163086 4.814013481140137
36 4.793844699859619 4.79384183883667
37 4.773728370666504 4.773725509643555
38 4.753664970397949 4.753662109375
39 4.733659744262695 4.733656883239746
40 4.713706016540527 4.713703155517578
41 4.693805694580078 4.693802356719971
42 4.673959732055664 4.673956871032715
43 4.654168128967285 4.654164791107178
44 4.6344313621521 4.63442850112915
45 4.614748001098633 4.614745140075684
46 4.595118045806885 4.5951151847839355
47 4.575542449951172 4.575539588928223
48 4.556020259857178 4.5560173988342285
49 4.536552906036377 4.536550045013428
50 4.517142295837402 4.517139434814453
51 4.4977874755859375 4.497784614562988
52 4.478484153747559 4.478481292724609
53 4.459236145019531 4.459233283996582
54 4.440042018890381 4.440039157867432
55 4.420899868011475 4.420896530151367
56 4.401813507080078 4.401810646057129
57 4.382783889770508 4.3827805519104
58 4.363807201385498 4.363804340362549
59 4.34488582611084 4.344882965087891
60 4.326020240783691 4.326017379760742
61 4.307208061218262 4.3072052001953125
62 4.288451194763184 4.288448333740234
63 4.269748210906982 4.269744873046875
64 4.2510986328125 4.251095771789551
65 4.232502460479736 4.232499599456787
66 4.213959217071533 4.213956356048584
67 4.195471286773682 4.195468425750732
68 4.177038192749023 4.177035331726074
69 4.158660411834717 4.158657550811768
70 4.140336513519287 4.14033317565918
71 4.122066497802734 4.122063636779785
72 4.10385274887085 4.1038498878479
73 4.085691928863525 4.085689067840576
74 4.0675835609436035 4.067580223083496
75 4.0495285987854 4.049525737762451
76 4.031527042388916 4.031524181365967
77 4.013577938079834 4.013575077056885
78 3.9956817626953125 3.9956789016723633
79 3.977837085723877 3.9778342247009277
80 3.960050106048584 3.9600472450256348
81 3.9423179626464844 3.942315101623535
82 3.9246373176574707 3.9246344566345215
83 3.907010793685913 3.907007932662964
84 3.889441728591919 3.8894388675689697
85 3.8719265460968018 3.8719236850738525
86 3.854464054107666 3.8544609546661377
87 3.8370566368103027 3.8370537757873535
88 3.819701910018921 3.8196990489959717
89 3.8024001121520996 3.8023972511291504
90 3.7851526737213135 3.7851498126983643
91 3.7679569721221924 3.767954111099243
92 3.75081729888916 3.750814437866211
93 3.733729839324951 3.733726978302002
94 3.7166976928710938 3.7166948318481445
95 3.6997196674346924 3.699716567993164
96 3.6827945709228516 3.6827914714813232
97 3.6659252643585205 3.6659224033355713
98 3.649109125137329 3.64910626411438
99 3.6323459148406982 3.632343053817749
100 3.6156346797943115 3.6156318187713623
101 3.598975419998169 3.5989725589752197
102 3.582369089126587 3.5823662281036377
103 3.5658175945281982 3.565814733505249
104 3.54931902885437 3.549316167831421
105 3.5328729152679443 3.532870054244995
106 3.5164802074432373 3.516477346420288
107 3.5001380443573 3.5001351833343506
108 3.483849048614502 3.4838461875915527
109 3.4676122665405273 3.467609405517578
110 3.4514291286468506 3.4514260292053223
111 3.435298442840576 3.435295581817627
112 3.4192187786102295 3.4192159175872803
113 3.4031929969787598 3.4031901359558105
114 3.387218475341797 3.3872156143188477
115 3.3712968826293945 3.3712940216064453
116 3.355428457260132 3.3554255962371826
117 3.3396153450012207 3.3396124839782715
118 3.32384991645813 3.3238470554351807
119 3.3081367015838623 3.308133840560913
120 3.2924790382385254 3.292476177215576
121 3.276871681213379 3.2768688201904297
122 3.261317014694214 3.2613141536712646
123 3.2458136081695557 3.2458107471466064
124 3.230360984802246 3.230358123779297
125 3.2149605751037598 3.2149577140808105
126 3.1996102333068848 3.1996073722839355
127 3.1843109130859375 3.1843080520629883
128 3.169064998626709 3.1690621376037598
129 3.153869152069092 3.1538662910461426
130 3.138725757598877 3.1387228965759277
131 3.1236319541931152 3.123629093170166
132 3.108591079711914 3.108588218688965
133 3.0936012268066406 3.0935983657836914
134 3.0786595344543457 3.0786569118499756
135 3.0637686252593994 3.06376576423645
136 3.0489299297332764 3.048927068710327
137 3.0341432094573975 3.0341403484344482
138 3.019404411315918 3.0194015502929688
139 3.0047173500061035 3.0047144889831543
140 2.990081310272217 2.9900786876678467
141 2.9754974842071533 2.975494623184204
142 2.960963249206543 2.9609603881835938
143 2.946478843688965 2.9464759826660156
144 2.9320456981658936 2.9320428371429443
145 2.917663812637329 2.91766095161438
146 2.9033281803131104 2.903325319290161
147 2.8890445232391357 2.8890416622161865
148 2.874814510345459 2.8748116493225098
149 2.8606345653533936 2.8606317043304443
150 2.8465023040771484 2.846499443054199
151 2.8324241638183594 2.83242130279541
152 2.818394184112549 2.8183913230895996
153 2.8044209480285645 2.8044180870056152
154 2.7904903888702393 2.790487766265869
155 2.77661395072937 2.776611089706421
156 2.7627906799316406 2.7627880573272705
157 2.7490158081054688 2.7490129470825195
158 2.735288143157959 2.7352852821350098
159 2.721611261367798 2.7216084003448486
160 2.707986354827881 2.7079834938049316
161 2.6944122314453125 2.6944096088409424
162 2.680884838104248 2.680881977081299
163 2.667407512664795 2.6674046516418457
164 2.6539807319641113 2.653977870941162
165 2.6406028270721436 2.6405999660491943
166 2.6272711753845215 2.6272683143615723
167 2.6139895915985107 2.6139867305755615
168 2.6007580757141113 2.600755453109741
169 2.5875747203826904 2.587571859359741
170 2.5744400024414062 2.574437141418457
171 2.5613534450531006 2.5613508224487305
172 2.54831862449646 2.5483157634735107
173 2.535331964492798 2.5353291034698486
174 2.522393226623535 2.522390365600586
175 2.509504795074463 2.5095019340515137
176 2.49666690826416 2.49666428565979
177 2.4838778972625732 2.483875036239624
178 2.471137046813965 2.4711341857910156
179 2.458444595336914 2.458441734313965
180 2.4457995891571045 2.4457967281341553
181 2.4332048892974854 2.433202028274536
182 2.4206557273864746 2.4206528663635254
183 2.408155918121338 2.4081530570983887
184 2.3957018852233887 2.3956990242004395
185 2.3832991123199463 2.383296251296997
186 2.370941638946533 2.370938777923584
187 2.358630418777466 2.3586275577545166
188 2.3463659286499023 2.3463633060455322
189 2.3341526985168457 2.3341498374938965
190 2.3219823837280273 2.321979522705078
191 2.309861898422241 2.309859037399292
192 2.2977890968322754 2.297786235809326
193 2.285762310028076 2.285759687423706
194 2.2737793922424316 2.2737765312194824
195 2.261847496032715 2.2618446350097656
196 2.2499630451202393 2.24996018409729
197 2.2381227016448975 2.2381198406219482
198 2.2263314723968506 2.2263286113739014
199 2.2145838737487793 2.21458101272583
200 2.202887773513794 2.2028849124908447
201 2.191239356994629 2.1912364959716797
202 2.179633617401123 2.179630756378174
203 2.1680760383605957 2.1680734157562256
204 2.1565680503845215 2.1565654277801514
205 2.1451022624969482 2.145099401473999
206 2.133681535720825 2.133678674697876
207 2.1223058700561523 2.122303009033203
208 2.1109771728515625 2.1109743118286133
209 2.0996932983398438 2.0996904373168945
210 2.0884532928466797 2.0884504318237305
211 2.077261447906494 2.077258586883545
212 2.0661144256591797 2.0661115646362305
213 2.0550146102905273 2.0550119876861572
214 2.0439577102661133 2.043954849243164
215 2.0329465866088867 2.0329437255859375
216 2.0219833850860596 2.0219805240631104
217 2.0110671520233154 2.011064291000366
218 2.000192165374756 2.0001893043518066
219 1.9893609285354614 1.9893580675125122
220 1.97857666015625 1.9785739183425903
221 1.9678363800048828 1.9678336381912231
222 1.9571398496627808 1.9571369886398315
223 1.9464870691299438 1.9464843273162842
224 1.9358813762664795 1.9358785152435303
225 1.9253183603286743 1.925315499305725
226 1.9147984981536865 1.9147957563400269
227 1.9043220281600952 1.9043192863464355
228 1.8938912153244019 1.8938883543014526
229 1.8835041522979736 1.8835012912750244
230 1.873160719871521 1.8731578588485718
231 1.8628603219985962 1.862857460975647
232 1.8526058197021484 1.8526029586791992
233 1.8423917293548584 1.8423888683319092
234 1.8322232961654663 1.8322205543518066
235 1.8220980167388916 1.8220951557159424
236 1.8120174407958984 1.8120145797729492
237 1.8019802570343018 1.8019773960113525
238 1.7919875383377075 1.7919846773147583
239 1.782035231590271 1.7820324897766113
240 1.7721296548843384 1.7721267938613892
241 1.7622684240341187 1.7622655630111694
242 1.7524470090866089 1.7524441480636597
243 1.7426731586456299 1.7426704168319702
244 1.7329413890838623 1.732938528060913
245 1.7232508659362793 1.7232481241226196
246 1.7136030197143555 1.7136001586914062
247 1.7039973735809326 1.7039945125579834
248 1.6944326162338257 1.694429874420166
249 1.6849116086959839 1.6849087476730347
250 1.6754333972930908 1.6754305362701416
251 1.66599440574646 1.6659915447235107
252 1.6565972566604614 1.6565945148468018
253 1.6472433805465698 1.6472405195236206
254 1.6379289627075195 1.6379261016845703
255 1.6286566257476807 1.6286537647247314
256 1.6194252967834473 1.619422435760498
257 1.6102396249771118 1.6102368831634521
258 1.601090669631958 1.6010878086090088
259 1.5919862985610962 1.591983437538147
260 1.5829246044158936 1.5829218626022339
261 1.5738983154296875 1.5738955736160278
262 1.5649160146713257 1.5649131536483765
263 1.5559769868850708 1.5559742450714111
264 1.54707932472229 1.5470765829086304
265 1.538224458694458 1.5382215976715088
266 1.5294053554534912 1.5294026136398315
267 1.520628809928894 1.5206260681152344
268 1.5118935108184814 1.5118907690048218
269 1.5031976699829102 1.503194808959961
270 1.4945420026779175 1.4945391416549683
271 1.4859259128570557 1.485923171043396
272 1.4773496389389038 1.4773467779159546
273 1.4688136577606201 1.468810796737671
274 1.460317850112915 1.4603151082992554
275 1.451859712600708 1.4518568515777588
276 1.4434434175491333 1.443440556526184
277 1.4350686073303223 1.4350658655166626
278 1.4267288446426392 1.4267261028289795
279 1.418426752090454 1.4184240102767944
280 1.4101670980453491 1.4101643562316895
281 1.4019429683685303 1.4019402265548706
282 1.393758773803711 1.3937560319900513
283 1.3856123685836792 1.38560950756073
284 1.3775053024291992 1.3775025606155396
285 1.3694348335266113 1.369431972503662
286 1.3614015579223633 1.361398696899414
287 1.3534082174301147 1.3534053564071655
288 1.3454539775848389 1.3454511165618896
289 1.3375375270843506 1.337534785270691
290 1.3296573162078857 1.3296544551849365
291 1.3218181133270264 1.3218152523040771
292 1.31401526927948 1.3140124082565308
293 1.306249737739563 1.3062469959259033
294 1.2985200881958008 1.2985173463821411
295 1.2908285856246948 1.2908258438110352
296 1.2831748723983765 1.2831721305847168
297 1.275556206703186 1.2755533456802368
298 1.2679762840270996 1.26797354221344
299 1.2604321241378784 1.2604293823242188
300 1.252927303314209 1.2529244422912598
301 1.245456576347351 1.2454538345336914
302 1.238023281097412 1.238020420074463
303 1.2306276559829712 1.230624794960022
304 1.2232698202133179 1.2232669591903687
305 1.2159500122070312 1.215947151184082
306 1.2086658477783203 1.2086631059646606
307 1.2014201879501343 1.2014174461364746
308 1.1942120790481567 1.194209337234497
309 1.1870393753051758 1.1870366334915161
310 1.1799039840698242 1.1799012422561646
311 1.1728026866912842 1.1727999448776245
312 1.1657387018203735 1.1657359600067139
313 1.158712387084961 1.1587096452713013
314 1.151718258857727 1.1517155170440674
315 1.1447592973709106 1.144756555557251
316 1.13783597946167 1.1378332376480103
317 1.1309486627578735 1.1309459209442139
318 1.1240947246551514 1.1240919828414917
319 1.1172785758972168 1.1172758340835571
320 1.1104962825775146 1.110493540763855
321 1.103751301765442 1.1037484407424927
322 1.0970396995544434 1.0970368385314941
323 1.090361475944519 1.0903586149215698
324 1.08371901512146 1.0837162733078003
325 1.0771116018295288 1.0771088600158691
326 1.0705368518829346 1.0705339908599854
327 1.06399405002594 1.0639911890029907
328 1.057486891746521 1.0574841499328613
329 1.051011562347412 1.051008701324463
330 1.0445687770843506 1.0445659160614014
331 1.0381594896316528 1.0381566286087036
332 1.0317819118499756 1.0317790508270264
333 1.0254408121109009 1.0254380702972412
334 1.0191311836242676 1.0191283226013184
335 1.0128530263900757 1.012850284576416
336 1.006610631942749 1.0066077709197998
337 1.0004013776779175 1.0003985166549683
338 0.994225025177002 0.9942222237586975
339 0.9880812168121338 0.9880784749984741
340 0.981971800327301 0.9819689393043518
341 0.975893497467041 0.9758906364440918
342 0.9698458909988403 0.9698431491851807
343 0.9638339281082153 0.9638311266899109
344 0.9578520059585571 0.9578492045402527
345 0.951904833316803 0.9519020318984985
346 0.9459879994392395 0.9459851980209351
347 0.9401049017906189 0.9401021003723145
348 0.9342566132545471 0.9342538118362427
349 0.9284383654594421 0.9284355044364929
350 0.9226500391960144 0.92264723777771
351 0.9168950319290161 0.9168921709060669
352 0.911172091960907 0.9111693501472473
353 0.9054799675941467 0.9054771661758423
354 0.8998181223869324 0.8998153209686279
355 0.8941890597343445 0.89418625831604
356 0.8885905742645264 0.8885877728462219
357 0.8830260038375854 0.8830232620239258
358 0.8774914741516113 0.8774887323379517
359 0.8719872236251831 0.8719844222068787
360 0.8665158152580261 0.8665130138397217
361 0.8610730767250061 0.8610702753067017
362 0.8556601405143738 0.8556573390960693
363 0.8502786159515381 0.8502757549285889
364 0.8449295163154602 0.8449267148971558
365 0.8396135568618774 0.839610755443573
366 0.8343278169631958 0.8343250155448914
367 0.8290711045265198 0.8290683031082153
368 0.8238439559936523 0.8238410949707031
369 0.8186477422714233 0.8186448812484741
370 0.8134793043136597 0.8134765028953552
371 0.8083397150039673 0.8083369135856628
372 0.8032324314117432 0.8032296299934387
373 0.7981525659561157 0.798149824142456
374 0.7931024432182312 0.7930996417999268
375 0.7880829572677612 0.7880801558494568
376 0.7830929756164551 0.7830901741981506
