,component,feature,axis
138,0.0455632648961976,qgTkPhi_1,2
139,0.04476033460952468,qgTkNLay_0,2
140,0.04415213297213209,qgTkNHits_5,2
141,0.04414357549042114,qpVtxNtr_6,2
142,0.04381687103253459,qpVtxX_3,2
143,0.043277925599207345,qgTkNHits_0,2
144,0.04220715200568021,qpVtxNtr_5,2
145,0.04159537586381529,qpVtxNtr_0,2
146,0.04025994327534331,qgTkChi2_4,2
147,0.037752358037883446,qpVtxY_2,2
148,0.03758198633356774,qgTkEta_2,2
149,0.036843770486288924,qgTkNHits_2,2
150,0.03582448421599453,qpVtxY_6,2
151,0.0332441445069238,qgTkNHits_4,2
152,0.032591332929907055,qpVtxX_4,2
153,0.03213350287398227,qpVtxX_6,2
154,0.03170853062603973,qpVtxNtr_4,2
155,0.030691959008376304,qgTkNHits_1,2
156,0.030568175480301444,qpVtxX_0,2
157,0.030034211350745767,qpVtxY_3,2
158,0.02696216211773056,qgTkNLay_1,2
159,0.02407763188879384,qpVtxY_0,2
160,0.024042823691144403,qpVtxY_4,2
161,0.021664911356977068,qgTkNLay_2,2
162,0.020067647724422103,qgTkEta_6,2
163,0.01770253577963573,qgTkEta_4,2
164,0.01769105041783872,qgTkNLay_4,2
165,0.017405106965255764,qpVtxChi2_2,2
166,0.01685846624191268,qpVtxNtr_2,2
167,0.016536824827801274,qgTkEta_5,2
168,0.016135280592848935,qgTkChi2_3,2
169,0.014814733612316064,qgTkNHits_6,2
170,0.013235826231293315,qgTkEta_0,2
171,0.01198544420820627,qgTkEta_3,2
172,0.010831338890068116,qgTkPhi_2,2
173,0.010588631456407979,qgTkNLay_6,2
174,0.008592005613852954,qpVtxZ_1,2
175,0.008299872827440193,qgTkNHits_3,2
176,0.008181171838487045,qgTkChi2_2,2
177,0.008025834340433515,qpVtxNtr_3,2
178,0.007562291302008924,qgTkNLay_3,2
179,0.006738016524982273,qpVtxX_5,2
180,0.0054792892934267656,qpVtxY_5,2
181,0.004291743352838926,qpVtxZ_6,2
182,0.0040607490983549,qpVtxZ_5,2
183,0.004051097130514502,qgTkPt_6,2
184,0.0037950623048610323,qpVtxZ_0,2
185,0.003599495004779526,qpVtxZ_4,2
186,0.003507487823847711,qpVtxZ_2,2
187,0.0033105275462028674,qpVtxZ_3,2
188,0.002149333904695409,qPUEvt_1,2
189,0.0015736223482627383,qlumiEvt_1,2
190,0.0013309252546158065,qgTkChi2_1,2
191,0.0011943114661903146,qgTkChi2_0,2
192,0.00032132542584575955,qgTkPt_0,2
193,0.0002636005304481124,qgTkPt_1,2
194,0.00017999285508619369,qpVtxChi2_0,2
195,0.0001716595959079281,qpVtxChi2_1,2
