fpr tpr threshold
0.0 0.0012953367875647669 0.23329795088010208
0.0 0.0038860103626943004 0.2253316213339559
0.0015822784810126582 0.0038860103626943004 0.22492839221166272
0.0015822784810126582 0.4727979274611399 0.19623943741599137
0.0031645569620253164 0.4727979274611399 0.1962173603370021
0.0031645569620253164 0.6735751295336787 0.17093736592377695
0.00949367088607595 0.6735751295336787 0.11560303976451092
0.00949367088607595 0.6748704663212435 0.11553568156892668
0.011075949367088608 0.6748704663212435 0.111679474715215
0.011075949367088608 0.677461139896373 0.09809804120175825
0.014240506329113924 0.677461139896373 0.09033948835877337
0.014240506329113924 0.6839378238341969 0.06702170028838661
0.022151898734177215 0.6839378238341969 0.044578954377792135
0.022151898734177215 0.6852331606217616 0.040348693212160947
0.03164556962025317 0.6852331606217616 0.03664958706316024
0.03164556962025317 0.6865284974093264 0.03495880701371201
0.0379746835443038 0.6865284974093264 0.032708515210664535
0.0379746835443038 0.6878238341968912 0.03212132694672165
0.03955696202531646 0.6878238341968912 0.03203663740028406
0.03955696202531646 0.689119170984456 0.03167082087693274
0.058544303797468354 0.689119170984456 0.027354527971467868
0.058544303797468354 0.6904145077720207 0.02725559610756434
0.061708860759493674 0.6904145077720207 0.02620207434039168
0.061708860759493674 0.6917098445595855 0.025655263352879043
0.08544303797468354 0.6917098445595855 0.020990808207364653
0.08544303797468354 0.6930051813471503 0.02069688909004841
0.13291139240506328 0.6930051813471503 0.01530786089381353
0.13291139240506328 0.694300518134715 0.01530232311105928
0.1661392405063291 0.694300518134715 0.012357377367158584
0.1661392405063291 0.6955958549222798 0.012315423021517447
0.18670886075949367 0.6955958549222798 0.01045747178076395
0.18670886075949367 0.6968911917098446 0.010393655718002437
0.19145569620253164 0.6968911917098446 0.01003094612935529
0.19145569620253164 0.6981865284974094 0.010007341879668896
0.1930379746835443 0.6981865284974094 0.00993030482130608
0.1930379746835443 0.6994818652849741 0.009882936787176
0.1962025316455696 0.6994818652849741 0.009833435169418814
0.1962025316455696 0.7007772020725389 0.009503996249700108
0.19936708860759494 0.7007772020725389 0.009228331066793993
0.19936708860759494 0.7020725388601037 0.009178748905691814
0.20727848101265822 0.7020725388601037 0.00828039104925582
0.20727848101265822 0.7033678756476683 0.008240931909579974
