total_se run lumi
1.1989727020263672 323419 44
1.1110222339630127 323419 45
1.2094682455062866 323419 46
1.2097879648208618 323419 47
1.287039875984192 323419 55
1.1676055192947388 323419 57
1.1079236268997192 323419 58
1.2851150035858154 323419 59
1.1101545095443726 323419 60
1.1639195680618286 323419 61
1.2757431268692017 323419 62
1.1878447532653809 323419 63
1.2536463737487793 323419 67
1.1525068283081055 323419 68
1.0952746868133545 323419 69
1.2370083332061768 323419 70
1.0556113719940186 323419 71
1.138245701789856 323419 72
1.245504379272461 323419 73
1.1397101879119873 323419 74
1.1825292110443115 323419 75
1.0817946195602417 323419 76
1.326744556427002 323419 77
1.3043813705444336 323419 78
1.0855307579040527 323419 79
1.1541064977645874 323419 80
1.1539533138275146 323419 81
1.337477684020996 323419 82
0.5957657694816589 323423 137
8.267841339111328 323700 427
6.850442886352539 323700 428
6.7931060791015625 323700 429
7.3537092208862305 323700 430
6.966774940490723 323700 431
7.084047317504883 323700 432
7.902145862579346 323700 433
7.256784439086914 323700 438
6.468271732330322 323700 439
8.896210670471191 323700 440
8.560722351074219 323700 441
7.957362174987793 323700 442
7.898673057556152 323700 443
6.807553768157959 323700 444
7.5858049392700195 323700 445
7.69051456451416 323700 446
6.56632137298584 323700 447
0.1725744903087616 324293 1441
0.07386969774961472 325111 1
0.10396536439657211 325111 2
0.10668867826461792 325111 3
0.14774121344089508 325111 16
0.07656867057085037 325111 18
0.11716501414775848 325111 4
0.10036048293113708 325111 9
0.0764322280883789 325111 10
0.06570819765329361 325111 12
0.06786713749170303 325111 17
0.08031181991100311 325111 5
0.04868355393409729 325111 6
0.0967232808470726 325111 11
0.15011712908744812 325111 13
0.10992972552776337 325111 15
0.11361826211214066 325111 7
0.1048663780093193 325111 8
0.09526607394218445 325111 14
0.15384706854820251 325113 1
0.14021553099155426 325113 2
0.11913007497787476 325113 4
0.0869930163025856 325113 5
0.05133575201034546 325113 7
0.13517017662525177 325113 3
0.17749740183353424 325113 29
0.0768887996673584 325113 59
0.13905733823776245 325113 69
0.19075416028499603 325113 6
0.10510607063770294 325113 8
0.17569071054458618 325113 26
0.09049156308174133 325113 49
0.08252578228712082 325113 50
