EP loss_train loss_valid
1 0.5915956497192383 0.5926030874252319
2 0.5908452272415161 0.5918529629707336
3 0.5900952219963074 0.5911033153533936
4 0.5893461108207703 0.5903545618057251
5 0.5885977745056152 0.589606523513794
6 0.5878501534461975 0.5888592004776001
7 0.5871030688285828 0.588112473487854
8 0.5863566994667053 0.5873664617538452
9 0.5856112241744995 0.5866213440895081
10 0.5848663449287415 0.5858768224716187
11 0.5841223001480103 0.5851331353187561
12 0.5833791494369507 0.5843902826309204
13 0.5826363563537598 0.5836477875709534
14 0.5818942785263062 0.5829060673713684
15 0.581153154373169 0.5821653604507446
16 0.5804125666618347 0.5814250707626343
17 0.5796726942062378 0.580685555934906
18 0.5789331793785095 0.5799464583396912
19 0.5781943798065186 0.5792079567909241
20 0.577455997467041 0.57846999168396
21 0.576718270778656 0.5777326226234436
22 0.5759811401367188 0.5769959092140198
23 0.5752444267272949 0.5762596130371094
24 0.5745083689689636 0.5755239129066467
25 0.5737729072570801 0.5747888088226318
26 0.5730379223823547 0.5740542411804199
27 0.5723034739494324 0.5733201503753662
28 0.5715696215629578 0.572586715221405
29 0.5708361864089966 0.5718536972999573
30 0.5701035261154175 0.5711213946342468
31 0.5693713426589966 0.5703896284103394
32 0.5686396360397339 0.5696583986282349
33 0.5679082870483398 0.5689274668693542
34 0.5671775937080383 0.5681971907615662
35 0.5664475560188293 0.5674676299095154
36 0.5657175779342651 0.5667381286621094
37 0.5649881958961487 0.5660091638565063
38 0.5642593502998352 0.5652807950973511
39 0.5635309219360352 0.5645527839660645
40 0.5628029704093933 0.5638253092765808
41 0.5620753765106201 0.563098132610321
42 0.5613483786582947 0.5623716115951538
43 0.560621976852417 0.5616456866264343
44 0.5598962306976318 0.5609204173088074
45 0.5591706037521362 0.5601952075958252
46 0.558445394039154 0.5594704151153564
47 0.5577208399772644 0.5587461590766907
48 0.5569969415664673 0.5580226182937622
49 0.5562734603881836 0.5572994351387024
50 0.5555504560470581 0.5565767288208008
51 0.5548283457756042 0.5558549165725708
52 0.5541068911552429 0.5551337599754333
53 0.5533856749534607 0.554412841796875
54 0.5526651740074158 0.5536926984786987
55 0.551945149898529 0.5529729127883911
56 0.5512256026268005 0.5522537231445312
57 0.550506591796875 0.5515350103378296
58 0.5497878193855286 0.550816535949707
59 0.549069344997406 0.5500984191894531
60 0.5483512282371521 0.5493806004524231
61 0.547633707523346 0.5486634373664856
62 0.5469165444374084 0.547946572303772
63 0.5461992621421814 0.5472296476364136
64 0.5454825162887573 0.5465131998062134
65 0.5447664260864258 0.5457974672317505
66 0.5440503358840942 0.5450817346572876
67 0.5433349013328552 0.544366717338562
68 0.5426198840141296 0.5436520576477051
69 0.5419051647186279 0.5429376363754272
70 0.541190505027771 0.5422233939170837
71 0.5404761433601379 0.5415094494819641
72 0.539762020111084 0.5407956838607788
73 0.5390483140945435 0.5400824546813965
74 0.5383347868919373 0.5393693447113037
75 0.5376215577125549 0.5386565327644348
76 0.5369086265563965 0.5379440188407898
77 0.536195695400238 0.5372315645217896
78 0.5354831218719482 0.536519467830658
79 0.5347709059715271 0.5358076691627502
80 0.5340591073036194 0.5350963473320007
81 0.5333472490310669 0.5343849658966064
82 0.5326353907585144 0.5336735248565674
83 0.5319240093231201 0.5329625606536865
84 0.5312126874923706 0.5322515964508057
85 0.5305020213127136 0.5315413475036621
86 0.5297912359237671 0.530830979347229
87 0.5290803909301758 0.5301206111907959
88 0.5283698439598083 0.5294104814529419
89 0.52765953540802 0.528700590133667
90 0.5269491076469421 0.5279906392097473
91 0.5262387990951538 0.527280867099762
92 0.5255284309387207 0.5265709757804871
93 0.5248182415962219 0.5258613228797913
94 0.524108350276947 0.5251520276069641
95 0.5233983397483826 0.5244425535202026
96 0.5226883292198181 0.5237331390380859
97 0.5219782590866089 0.5230236053466797
98 0.5212678909301758 0.5223138332366943
99 0.5205576419830322 0.5216041803359985
100 0.5198475122451782 0.5208946466445923
101 0.5191367268562317 0.5201845169067383
102 0.5184260010719299 0.5194743871688843
103 0.5177152156829834 0.5187642574310303
104 0.5170044898986816 0.5180542469024658
105 0.5162930488586426 0.5173435211181641
106 0.5155818462371826 0.5166330337524414
107 0.5148706436157227 0.5159226655960083
108 0.5141589641571045 0.5152117013931274
109 0.513447105884552 0.5145006775856018
110 0.5127347111701965 0.5137890577316284
111 0.5120219588279724 0.5130771398544312
112 0.5113095045089722 0.5123655200004578
113 0.5105965733528137 0.511653482913971
114 0.5098831653594971 0.5109408497810364
115 0.5091699957847595 0.5102283954620361
116 0.5084563493728638 0.509515643119812
117 0.5077425837516785 0.5088027119636536
118 0.5070280432701111 0.5080891847610474
119 0.5063134431838989 0.5073754787445068
120 0.5055980682373047 0.506661057472229
121 0.504882276058197 0.5059462785720825
