model_name data_fraction roc_auc
Vanilla 1.0 0.7588817314721248
Vanilla 1.0 0.7561102446328022
Vanilla 1.0 0.7306125943029615
Vanilla 1.0 0.7601669814208809
Vanilla 1.0 0.7282921307958228
Vanilla 1.0 0.7512430554143829
Vanilla 1.0 0.7492974034614357
Vanilla 1.0 0.7575792834800513
Vanilla 1.0 0.7541716548855066
Vanilla 1.0 0.7560434538943333
Sparse 1.0 0.7413222719178483
Sparse 1.0 0.7408560233852216
Sparse 1.0 0.7398425396903819
Sparse 1.0 0.7356241870422021
Sparse 1.0 0.7413777259577716
Sparse 1.0 0.7357164674824458
Sparse 1.0 0.7358048165329036
Sparse 1.0 0.741785403930572
Sparse 1.0 0.7354674746973608
Sparse 1.0 0.7356993409189427
Contractive 1.0 0.7635856322027885
Contractive 1.0 0.7620275295069389
Contractive 1.0 0.7568408827025112
Contractive 1.0 0.758710837532129
Contractive 1.0 0.7616093868893268
Contractive 1.0 0.7610252252550536
Contractive 1.0 0.7577686192121328
Contractive 1.0 0.7647624472732724
Contractive 1.0 0.7587291792524751
Contractive 1.0 0.768288274888721
Variational 1.0 0.7360193417515397
Variational 1.0 0.7362321943425213
Variational 1.0 0.7355613419894815
Variational 1.0 0.7364151397792057
Variational 1.0 0.7356375966553623
Variational 1.0 0.7360282767283255
Variational 1.0 0.7364598289590975
Variational 1.0 0.7368087934124432
Variational 1.0 0.7363329951766279
Variational 1.0 0.7358067321919265
