model_name data_fraction roc_auc
Vanilla 1.0 0.12325404047575186
Vanilla 1.0 0.12392980638336842
Vanilla 1.0 0.12319449363610885
Vanilla 1.0 0.12687023262393526
Vanilla 1.0 0.12692133403923006
Vanilla 1.0 0.13489110944900468
Vanilla 1.0 0.1262703765656365
Vanilla 1.0 0.12986928198585707
Vanilla 1.0 0.15505449410060718
Vanilla 1.0 0.13697884473984662
Sparse 1.0 0.1946186019972373
Sparse 1.0 0.1935522682034524
Sparse 1.0 0.19436322688051888
Sparse 1.0 0.19427676025076576
Sparse 1.0 0.19393900925671292
Sparse 1.0 0.19422034745531447
Sparse 1.0 0.19442175103205725
Sparse 1.0 0.19417086254702387
Sparse 1.0 0.19360561293458967
Sparse 1.0 0.19434943708607522
Contractive 1.0 0.12686637280108864
Contractive 1.0 0.19080301865858157
Contractive 1.0 0.12342829333281254
Contractive 1.0 0.1267268913395868
Contractive 1.0 0.12633411312751483
Contractive 1.0 0.1294643304863456
Contractive 1.0 0.12309615062836596
Contractive 1.0 0.19539327174155735
Contractive 1.0 0.1354715014433758
Contractive 1.0 0.12628123025552157
Variational 1.0 0.19597871119657412
Variational 1.0 0.19587710218488405
Variational 1.0 0.19586453301817827
Variational 1.0 0.1957481775038176
Variational 1.0 0.19586318043068496
Variational 1.0 0.19574296509347766
Variational 1.0 0.19608474086007147
Variational 1.0 0.19529113489084554
Variational 1.0 0.19619060557387452
Variational 1.0 0.1956783378032501
