model_name data_fraction roc_auc
Vanilla 1.0 0.8496072774550203
Vanilla 1.0 0.8433269248276567
Vanilla 1.0 0.85221715866943
Vanilla 1.0 0.8436407590175763
Vanilla 1.0 0.851348456758286
Vanilla 1.0 0.8475293124503588
Vanilla 1.0 0.8511109214127449
Vanilla 1.0 0.8252110792491802
Vanilla 1.0 0.8528702315568606
Vanilla 1.0 0.8469519411560787
Sparse 1.0 0.5915563948926148
Sparse 1.0 0.5904822385590341
Sparse 1.0 0.5912191825831986
Sparse 1.0 0.5948590448707168
Sparse 1.0 0.5926079836619367
Sparse 1.0 0.5935472465395903
Sparse 1.0 0.5916050282068958
Sparse 1.0 0.592764463483676
Sparse 1.0 0.5932790167470098
Sparse 1.0 0.5900267278456697
Contractive 1.0 0.81852271871148
Contractive 1.0 0.8470220328537663
Contractive 1.0 0.8227196244211248
Contractive 1.0 0.8366013640706119
Contractive 1.0 0.8392269657905588
Contractive 1.0 0.816568256728611
Contractive 1.0 0.8335142364642182
Contractive 1.0 0.7917700657855162
Contractive 1.0 0.8436987137170945
Contractive 1.0 0.8150353687911148
Variational 1.0 0.5937314985434322
Variational 1.0 0.5929441507817037
Variational 1.0 0.5935574424712686
Variational 1.0 0.5942641186564133
Variational 1.0 0.595394416605427
Variational 1.0 0.5929465397866158
Variational 1.0 0.5928298198323413
Variational 1.0 0.5942060999656922
Variational 1.0 0.5872986975401184
Variational 1.0 0.5924097389150386
