fpr tpr threshold
0.0 0.0 933.1349487304688
5.7293457087200645e-05 0.0 932.1349487304688
5.7293457087200645e-05 0.0573343261355175 6.949123859405518
0.00011458691417440129 0.0573343261355175 6.909829139709473
0.00011458691417440129 0.05956813104988831 6.5899505615234375
0.0002864672854360032 0.05956813104988831 6.212279319763184
0.0002864672854360032 0.06031273268801191 6.03013801574707
0.00045834765669760516 0.06031273268801191 5.575324535369873
0.00045834765669760516 0.06105733432613552 5.4821062088012695
0.0006875214850464077 0.06105733432613552 4.761913299560547
0.0006875214850464077 0.06180193596425912 4.719294548034668
0.003494900882319239 0.06180193596425912 3.2571964263916016
0.003494900882319239 0.06254653760238273 3.2517924308776855
0.005557465337458462 0.06254653760238273 2.885481834411621
0.005557465337458462 0.06329113924050633 2.8803772926330566
0.007047095221725679 0.06329113924050633 2.79518723487854
0.007047095221725679 0.06403574087862993 2.7882399559020996
0.00710438867881288 0.06403574087862993 2.779247760772705
0.00710438867881288 0.06478034251675353 2.7789816856384277
0.007791910163859287 0.06478034251675353 2.7567780017852783
0.007791910163859287 0.06552494415487714 2.755520820617676
0.008479431648905696 0.06552494415487714 2.7250354290008545
0.008479431648905696 0.06626954579300075 2.7216267585754395
0.008823192391428899 0.06626954579300075 2.6946091651916504
0.008823192391428899 0.06701414743112435 2.692490339279175
0.0089950727626905 0.06701414743112435 2.685762882232666
0.0089950727626905 0.06924795234549516 2.6843154430389404
0.009682594247736908 0.06924795234549516 2.656151294708252
0.009682594247736908 0.06999255398361877 2.649982452392578
0.010255528818608915 0.06999255398361877 2.621640920639038
0.010255528818608915 0.07073715562174236 2.6208643913269043
0.01059928956113212 0.07073715562174236 2.612678050994873
0.01059928956113212 0.07148175725986597 2.6120262145996094
0.01071387647530652 0.07148175725986597 2.6094250679016113
0.01071387647530652 0.07222635889798958 2.6092662811279297
0.010828463389480921 0.07222635889798958 2.606821298599243
0.010828463389480921 0.07297096053611318 2.5947132110595703
0.010885756846568121 0.07297096053611318 2.593205451965332
0.010885756846568121 0.07446016381236038 2.5831949710845947
0.011286811046178527 0.07446016381236038 2.5674071311950684
0.011286811046178527 0.07520476545048399 2.5665078163146973
0.011344104503265727 0.07520476545048399 2.565667152404785
0.011344104503265727 0.0766939687267312 2.563800096511841
0.011859745617050534 0.0766939687267312 2.5566787719726562
0.011859745617050534 0.0774385703648548 2.5560877323150635
0.012375386730835339 0.0774385703648548 2.5453221797943115
0.012375386730835339 0.0781831720029784 2.544851779937744
0.01248997364500974 0.0781831720029784 2.5363025665283203
0.01248997364500974 0.07967237527922562 2.5343730449676514
0.013807723158015355 0.07967237527922562 2.503483772277832
0.013807723158015355 0.08116157855547282 2.502072334289551
0.013865016615102555 0.08116157855547282 2.500422477722168
0.013865016615102555 0.08190618019359643 2.4951467514038086
0.014266070814712959 0.08190618019359643 2.4811909198760986
0.014266070814712959 0.08265078183172003 2.476228952407837
0.01432336427180016 0.08265078183172003 2.475898265838623
0.01432336427180016 0.08339538346984364 2.471270799636841
0.014896298842672167 0.08339538346984364 2.4474849700927734
0.014896298842672167 0.08413998510796723 2.446667432785034
0.015010885756846568 0.08413998510796723 2.4458227157592773
0.015010885756846568 0.08488458674609084 2.443100690841675
0.015125472671020969 0.08488458674609084 2.438206672668457
0.015125472671020969 0.08562918838421445 2.438161849975586
0.01518276612810817 0.08562918838421445 2.4354441165924072
0.01518276612810817 0.08637379002233805 2.434074640274048
0.015297353042282571 0.08637379002233805 2.429917573928833
0.015297353042282571 0.08711839166046165 2.426942825317383
0.01598487452732898 0.08711839166046165 2.411238670349121
0.01598487452732898 0.08786299329858525 2.411133289337158
0.016615102555288187 0.08786299329858525 2.3954617977142334
0.016615102555288187 0.08860759493670886 2.3948111534118652
0.016672396012375388 0.08860759493670886 2.394171714782715
0.016672396012375388 0.08935219657483247 2.392637252807617
0.01701615675489859 0.08935219657483247 2.3820528984069824
0.01701615675489859 0.09009679821295608 2.381728172302246
0.017130743669072992 0.09009679821295608 2.379193067550659
0.017130743669072992 0.09158600148920328 2.3782224655151367
0.017188037126160193 0.09158600148920328 2.377964973449707
0.017188037126160193 0.09233060312732688 2.377476453781128
0.017417210954508995 0.09233060312732688 2.3726460933685303
0.017417210954508995 0.09307520476545049 2.370492935180664
0.017474504411596196 0.09307520476545049 2.3704493045806885
0.017474504411596196 0.09381980640357408 2.3694732189178467
0.018563080096253008 0.09381980640357408 2.3409311771392822
0.018563080096253008 0.09456440804169769 2.3378076553344727
0.01873496046751461 0.09456440804169769 2.3354852199554443
0.01873496046751461 0.0953090096798213 2.33366322517395
0.019021427752950612 0.0953090096798213 2.328075408935547
0.019021427752950612 0.0960536113179449 2.324221611022949
0.019136014667125015 0.0960536113179449 2.3232572078704834
0.019136014667125015 0.0967982129560685 2.3230204582214355
0.019193308124212216 0.0967982129560685 2.3228960037231445
0.019193308124212216 0.0975428145941921 2.320808172225952
0.019938123066345823 0.0975428145941921 2.307241201400757
0.019938123066345823 0.09828741623231571 2.3065640926361084
0.02056835109430503 0.09828741623231571 2.297790288925171
0.02056835109430503 0.09903201787043932 2.29565691947937
0.020854818379741034 0.09903201787043932 2.292689800262451
0.020854818379741034 0.09977661950856292 2.2920944690704346
0.021141285665177038 0.09977661950856292 2.287123680114746
0.021141285665177038 0.10052122114668652 2.28678035736084
0.021255872579351437 0.10052122114668652 2.280874252319336
0.021255872579351437 0.10126582278481013 2.278299570083618
0.02131316603643864 0.10126582278481013 2.278104782104492
0.02131316603643864 0.10201042442293373 2.2772793769836426
