EP loss_train loss_valid
0 58.276756286621094 58.27765655517578
1 57.15481185913086 57.15595626831055
2 56.22133255004883 56.222164154052734
3 55.37541961669922 55.37615966796875
4 54.59219741821289 54.59272766113281
5 53.858253479003906 53.858612060546875
6 53.16112518310547 53.16134262084961
7 52.49301528930664 52.49306869506836
8 51.846397399902344 51.846168518066406
9 51.21428298950195 51.21396255493164
10 50.59653854370117 50.59597396850586
11 49.97856140136719 49.97739791870117
12 49.37003707885742 49.36867141723633
13 48.77516555786133 48.77372741699219
14 48.19572067260742 48.194488525390625
15 47.62835693359375 47.62729263305664
16 47.06776428222656 47.066715240478516
17 46.50453567504883 46.503448486328125
18 45.94350814819336 45.942386627197266
19 45.38975143432617 45.388702392578125
20 44.84406661987305 44.843101501464844
21 44.30582809448242 44.30500030517578
22 43.77275466918945 43.771915435791016
23 43.244102478027344 43.2431640625
24 42.7194709777832 42.71864700317383
25 42.19789123535156 42.1970100402832
26 41.67516326904297 41.67416000366211
27 41.156246185302734 41.15541458129883
28 40.64120864868164 40.640262603759766
29 40.12706756591797 40.12605285644531
30 39.614418029785156 39.6135139465332
31 39.10291290283203 39.101993560791016
32 38.59464645385742 38.59373092651367
33 38.08997344970703 38.0890007019043
34 37.58854675292969 37.587642669677734
35 37.0898323059082 37.08896255493164
36 36.593326568603516 36.59241485595703
37 36.0999870300293 36.09880828857422
38 35.609928131103516 35.60870361328125
39 35.12156295776367 35.12037658691406
40 34.632694244384766 34.631568908691406
41 34.147438049316406 34.14625549316406
42 33.66669464111328 33.665428161621094
43 33.19017791748047 33.18888473510742
44 32.71686935424805 32.715736389160156
45 32.24695587158203 32.24530029296875
46 31.78017807006836 31.77892303466797
47 31.31654167175293 31.315290451049805
48 30.85683822631836 30.855426788330078
49 30.400432586669922 30.39862060546875
50 29.946937561035156 29.945510864257812
51 29.49738121032715 29.496519088745117
52 29.051441192626953 29.050153732299805
53 28.60836410522461 28.60724639892578
54 28.168973922729492 28.167707443237305
55 27.732805252075195 27.73128318786621
56 27.300142288208008 27.29890251159668
57 26.871471405029297 26.87018585205078
58 26.446874618530273 26.44517707824707
59 26.026044845581055 26.024057388305664
60 25.608928680419922 25.60848045349121
61 25.19625473022461 25.19510269165039
62 24.788286209106445 24.786874771118164
63 24.3844051361084 24.383163452148438
64 23.985158920288086 23.982730865478516
65 23.590227127075195 23.587833404541016
66 23.199235916137695 23.198278427124023
67 22.812740325927734 22.811891555786133
68 22.431640625 22.430871963500977
69 22.05504035949707 22.054018020629883
70 21.684011459350586 21.682880401611328
71 21.31751823425293 21.315961837768555
72 20.956256866455078 20.954330444335938
73 20.599584579467773 20.597976684570312
74 20.24890899658203 20.24673843383789
75 19.90299415588379 19.900861740112305
76 19.562284469604492 19.562440872192383
77 19.226329803466797 19.22600555419922
78 18.897607803344727 18.898481369018555
79 18.573766708374023 18.573808670043945
80 18.255464553833008 18.255878448486328
81 17.943710327148438 17.942855834960938
82 17.636131286621094 17.635604858398438
83 17.333650588989258 17.333690643310547
84 17.038772583007812 17.038015365600586
85 16.748659133911133 16.74580955505371
86 16.463443756103516 16.461088180541992
87 16.18196678161621 16.182527542114258
88 15.907197952270508 15.905020713806152
89 15.637920379638672 15.636977195739746
90 15.373614311218262 15.37320327758789
91 15.115131378173828 15.114575386047363
