EP loss_test loss_valid
0 5.418148517608643 5.418150424957275
1 5.266998291015625 5.267000198364258
2 5.118591785430908 5.118593692779541
3 4.9729108810424805 4.972912788391113
4 4.829941272735596 4.8299431800842285
5 4.689655303955078 4.689657211303711
6 4.5520806312561035 4.552082538604736
7 4.417240619659424 4.417242050170898
8 4.285095691680908 4.285097599029541
9 4.155608177185059 4.155610084533691
10 4.028787612915039 4.028789520263672
11 3.9046034812927246 3.9046053886413574
12 3.783033847808838 3.7830357551574707
13 3.6640684604644775 3.6640703678131104
14 3.5477070808410645 3.547708749771118
15 3.4339234828948975 3.4339253902435303
16 3.3227057456970215 3.3227076530456543
17 3.214026927947998 3.2140285968780518
18 3.1078720092773438 3.1078739166259766
19 3.0042340755462646 3.0042357444763184
20 2.903099298477173 2.9031009674072266
21 2.804476022720337 2.8044776916503906
22 2.7082772254943848 2.7082791328430176
23 2.614515781402588 2.6145174503326416
24 2.5231876373291016 2.5231895446777344
25 2.434236526489258 2.4342384338378906
26 2.3476641178131104 2.347666025161743
27 2.2633821964263916 2.2633838653564453
28 2.181356906890869 2.181358814239502
29 2.101611852645874 2.101613759994507
30 2.024076223373413 2.024078130722046
31 1.9487208127975464 1.9487226009368896
32 1.8755441904067993 1.8755459785461426
33 1.8045015335083008 1.804503321647644
34 1.7355215549468994 1.7355232238769531
35 1.6685963869094849 1.6685981750488281
36 1.6037260293960571 1.6037278175354004
37 1.5408599376678467 1.5408616065979004
38 1.4799470901489258 1.479948878288269
39 1.4209890365600586 1.4209908246994019
40 1.3639582395553589 1.3639600276947021
41 1.3087983131408691 1.3088001012802124
42 1.255480408668518 1.2554820775985718
43 1.203943133354187 1.2039448022842407
44 1.1541597843170166 1.1541615724563599
45 1.1061195135116577 1.106121301651001
46 1.059768795967102 1.0597705841064453
47 1.0150654315948486 1.015067219734192
48 0.9720072746276855 0.972009003162384
49 0.9305219650268555 0.9305237531661987
50 0.890576958656311 0.8905787467956543
51 0.8521611094474792 0.8521628379821777
52 0.8152467012405396 0.815248429775238
53 0.7797880172729492 0.7797897458076477
54 0.7457555532455444 0.7457573413848877
55 0.7131096720695496 0.713111400604248
56 0.6818408370018005 0.681842565536499
57 0.6519021987915039 0.6519038677215576
58 0.6232671141624451 0.6232688426971436
59 0.5958908796310425 0.5958925485610962
60 0.5697481036186218 0.5697498321533203
61 0.5447887182235718 0.5447904467582703
62 0.5209729671478271 0.5209746956825256
63 0.4982743263244629 0.4982760548591614
64 0.4766644835472107 0.4766662120819092
65 0.4561173617839813 0.4561190903186798
66 0.4366014301776886 0.4366031289100647
67 0.4181040823459625 0.418105810880661
68 0.4005899727344513 0.4005917012691498
69 0.38404446840286255 0.38404619693756104
70 0.3684258759021759 0.368427574634552
71 0.3536930978298187 0.3536948263645172
72 0.3398274779319763 0.3398292064666748
73 0.32680588960647583 0.32680758833885193
74 0.3145964741706848 0.3145981729030609
75 0.3031907379627228 0.3031924366950989
76 0.29255759716033936 0.29255932569503784
77 0.2826417088508606 0.2826434373855591
78 0.273450642824173 0.27345237135887146
79 0.2649628520011902 0.2649645507335663
80 0.25713852047920227 0.25714024901390076
81 0.24993681907653809 0.24993856251239777
82 0.24334903061389923 0.24335075914859772
83 0.2373606115579605 0.2373623251914978
84 0.23195305466651917 0.23195475339889526
85 0.22709020972251892 0.22709190845489502
86 0.22276124358177185 0.22276294231414795
87 0.2189485728740692 0.2189502865076065
88 0.2156321257352829 0.2156338393688202
89 0.21279461681842804 0.21279631555080414
90 0.2104155272245407 0.210417240858078
91 0.20846834778785706 0.20847004652023315
92 0.2069312036037445 0.2069329172372818
93 0.20579080283641815 0.20579250156879425
94 0.2050355225801468 0.2050372064113617
95 0.20455297827720642 0.2045547068119049
96 0.20408789813518524 0.20408958196640015
97 0.2036191076040268 0.2036208212375641
98 0.20315095782279968 0.2031526416540146
99 0.20268531143665314 0.20268701016902924
100 0.2022194266319275 0.2022211104631424
101 0.20175513625144958 0.20175683498382568
102 0.20128943026065826 0.20129112899303436
103 0.2008270025253296 0.20082873106002808
104 0.20036378502845764 0.20036546885967255
105 0.19990196824073792 0.1999036818742752
106 0.19944210350513458 0.1994437724351883
107 0.1989828497171402 0.19898457825183868
108 0.19852454960346222 0.1985262930393219
109 0.1980641633272171 0.1980658620595932
110 0.19760793447494507 0.19760966300964355
111 0.1971503347158432 0.1971520185470581
112 0.19669590890407562 0.19669760763645172
113 0.19623857736587524 0.19624026119709015
114 0.19578613340854645 0.19578783214092255
115 0.195331871509552 0.1953336000442505
116 0.19487817585468292 0.19487984478473663
117 0.19442807137966156 0.19442978501319885
118 0.19397616386413574 0.19397784769535065
119 0.19352270662784576 0.19352440536022186
120 0.193071648478508 0.19307337701320648
121 0.1926238089799881 0.1926255077123642
122 0.1921723335981369 0.1921740472316742
123 0.1917247325181961 0.1917264461517334
124 0.19127553701400757 0.19127722084522247
125 0.19082747399806976 0.19082918763160706
126 0.1903798133134842 0.19038154184818268
127 0.1899343729019165 0.18993611633777618
128 0.18948686122894287 0.18948857486248016
129 0.1890433132648468 0.1890450268983841
130 0.18859747052192688 0.18859915435314178
131 0.1881515234708786 0.1881532520055771
132 0.1877090334892273 0.1877107322216034
133 0.18726450204849243 0.18726621568202972
134 0.186821848154068 0.18682357668876648
135 0.18638083338737488 0.18638253211975098
136 0.1859402060508728 0.1859419196844101
137 0.1854991763830185 0.1855008900165558
138 0.18505872786045074 0.18506039679050446
139 0.18462303280830383 0.18462471663951874
140 0.18418556451797485 0.18418729305267334
141 0.1837497353553772 0.1837514489889145
142 0.18331333994865417 0.18331505358219147
143 0.1828770488500595 0.18287873268127441
144 0.18244174122810364 0.18244345486164093
145 0.1820077747106552 0.1820094734430313
146 0.18157310783863068 0.18157480657100677
147 0.18113963305950165 0.18114136159420013
148 0.1807076334953308 0.1807093471288681
149 0.18027617037296295 0.18027783930301666
150 0.179843470454216 0.1798451691865921
151 0.1794126033782959 0.179414302110672
152 0.17898300290107727 0.17898471653461456
153 0.17855554819107056 0.17855726182460785
154 0.17812451720237732 0.1781262457370758
155 0.17769640684127808 0.17769812047481537
156 0.1772708147764206 0.1772725135087967
157 0.17684251070022583 0.17684420943260193
158 0.17641548812389374 0.17641721665859222
159 0.1759900152683258 0.1759917289018631
160 0.17556560039520264 0.17556732892990112
161 0.1751418262720108 0.1751435250043869
162 0.17471843957901 0.17472010850906372
163 0.1742953211069107 0.1742970198392868
164 0.173873171210289 0.1738748699426651
165 0.17344942688941956 0.17345112562179565
166 0.17303059995174408 0.17303228378295898
167 0.1726078987121582 0.1726096123456955
168 0.1721908301115036 0.1721925586462021
169 0.17177246510982513 0.17177416384220123
170 0.1713515818119049 0.1713532954454422
171 0.17093609273433685 0.17093780636787415
172 0.1705169528722763 0.1705186516046524
173 0.1700998991727829 0.170101597905159
174 0.16968438029289246 0.16968609392642975
175 0.16926945745944977 0.16927117109298706
176 0.16885533928871155 0.16885706782341003
177 0.16844221949577332 0.1684439480304718
178 0.16802819073200226 0.16802990436553955
179 0.16761542856693268 0.16761714220046997
180 0.16720469295978546 0.16720640659332275
181 0.16679109632968903 0.16679280996322632
182 0.16638101637363434 0.16638274490833282
183 0.1659739911556244 0.1659756898880005
184 0.16556432843208313 0.16556602716445923
185 0.16515465080738068 0.16515634953975677
186 0.16474570333957672 0.16474740207195282
187 0.16434025764465332 0.16434194147586823
188 0.1639341115951538 0.1639358252286911
189 0.16352836787700653 0.16353006660938263
190 0.16312304139137268 0.16312474012374878
191 0.16271759569644928 0.16271929442882538
192 0.16231565177440643 0.16231735050678253
193 0.16191162168979645 0.16191332042217255
194 0.16150805354118347 0.16150978207588196
195 0.16110831499099731 0.1611100137233734
196 0.16070713102817535 0.16070882976055145
197 0.16030488908290863 0.16030660271644592
198 0.15990644693374634 0.15990814566612244
199 0.1595081239938736 0.1595098376274109
200 0.15910805761814117 0.15910975635051727
201 0.15871381759643555 0.15871554613113403
202 0.15831315517425537 0.15831486880779266
203 0.1579177975654602 0.1579195111989975
204 0.15752454102039337 0.15752626955509186
205 0.15712739527225494 0.15712909400463104
206 0.15673282742500305 0.15673454105854034
207 0.15633994340896606 0.15634168684482574
208 0.1559472382068634 0.1559489667415619
209 0.15555459260940552 0.1555563062429428
210 0.15516135096549988 0.15516307950019836
211 0.15477031469345093 0.15477202832698822
212 0.15438149869441986 0.15438318252563477
