EP loss_train loss_valid
0 41.03219985961914 8.61064920107169e+22
1 39.87287521362305 8.633917498906463e+22
2 38.970863342285156 8.640820616415296e+22
3 38.244720458984375 8.625439022247975e+22
4 37.655155181884766 8.616201238692313e+22
5 37.13893508911133 8.611611169952097e+22
6 36.69620895385742 8.614264690852544e+22
7 36.281829833984375 8.617450537228945e+22
8 35.88466262817383 8.620190527242238e+22
9 35.49980926513672 8.622989964770611e+22
10 35.124691009521484 8.626100150673273e+22
11 34.758663177490234 8.629498566952087e+22
12 34.401241302490234 8.632960033625684e+22
13 34.051483154296875 8.63685564730336e+22
14 33.7089729309082 8.640089231835811e+22
15 33.372772216796875 8.641063810795174e+22
16 33.042449951171875 8.641533986596272e+22
17 32.7175178527832 8.643351639405879e+22
18 32.39767837524414 8.645713327050472e+22
19 32.08198928833008 8.649880057425715e+22
20 31.7698917388916 8.654846627094779e+22
21 31.46088218688965 8.660375245997339e+22
22 31.15470314025879 8.665562492048144e+22
23 30.85102653503418 8.670764149617757e+22
24 30.549530029296875 8.675925274790724e+22
25 30.24973487854004 8.681742124069436e+22
26 29.95088768005371 8.688131831220749e+22
27 29.651826858520508 8.694927763058451e+22
28 29.350852966308594 8.70122469605744e+22
29 29.046218872070312 8.707992705577453e+22
30 28.73678207397461 8.714358994010704e+22
31 28.42298698425293 8.720233489364646e+22
32 28.10599708557129 8.727215870226921e+22
33 27.78704071044922 8.73465311465156e+22
34 27.467199325561523 8.742859573892555e+22
35 27.147916793823242 8.751382185827391e+22
36 26.831090927124023 8.754015890889477e+22
37 26.517494201660156 8.759728256656834e+22
38 26.20732879638672 8.767805912948486e+22
39 25.90083885192871 8.777204925370808e+22
40 25.598051071166992 8.787796490974458e+22
41 25.298925399780273 8.799067199401915e+22
42 25.00319480895996 8.810479320857672e+22
43 24.710805892944336 8.824805271272338e+22
44 24.42165184020996 8.84028414319161e+22
45 24.135536193847656 8.856737594070246e+22
46 23.852249145507812 8.873951252565981e+22
47 23.5716609954834 8.891842252445673e+22
48 23.293630599975586 8.910404288669843e+22
49 23.01803207397461 8.929660779956554e+22
50 22.744482040405273 8.949794572450677e+22
51 22.472902297973633 8.971056967011418e+22
52 22.203353881835938 8.994772922649151e+22
53 21.936161041259766 9.018962656967684e+22
54 21.671472549438477 9.043609056288432e+22
55 21.40933609008789 9.068749050128339e+22
56 21.149608612060547 9.09426644561702e+22
57 20.89182472229004 9.120156739154848e+22
58 20.635456085205078 9.146900915182025e+22
59 20.380264282226562 9.174246772119418e+22
60 20.126060485839844 9.201938505508194e+22
61 19.87285614013672 9.229997732626563e+22
62 19.621191024780273 9.258365005959445e+22
63 19.371856689453125 9.287224072371635e+22
64 19.12545394897461 9.316438022434462e+22
65 18.882282257080078 9.346062700783305e+22
66 18.642772674560547 9.37610891605727e+22
67 18.407268524169922 9.407700766723348e+22
68 18.175893783569336 9.43868102856003e+22
69 17.948728561401367 9.469081226764706e+22
70 17.725698471069336 9.499185088113902e+22
71 17.50665855407715 9.528982704688436e+22
72 17.291385650634766 9.558481282247713e+22
73 17.079605102539062 9.587727658227857e+22
74 16.87090301513672 9.616620951997215e+22
75 16.665023803710938 9.64512873763847e+22
76 16.461963653564453 9.673146531640267e+22
77 16.26169776916504 9.700615787207451e+22
78 16.06402587890625 9.72747705682494e+22
79 15.868573188781738 9.753847434083045e+22
80 15.675193786621094 9.779617931870784e+22
81 15.484084129333496 9.804795755947562e+22
82 15.295467376708984 9.829364693354719e+22
83 15.109504699707031 9.853589555750344e+22
84 14.926292419433594 9.877602748963484e+22
85 14.745743751525879 9.901281775084273e+22
86 14.567516326904297 9.924423972129479e+22
87 14.391241073608398 9.946895132830206e+22
88 14.216571807861328 9.968289032500067e+22
89 14.043587684631348 9.988378689717842e+22
90 13.872702598571777 1.0007729756596727e+23
91 13.704349517822266 1.0024515573127862e+23
92 13.53868293762207 1.004025024950597e+23
93 13.376029014587402 1.0055203100988765e+23
94 13.216543197631836 1.0069641641394115e+23
95 13.059977531433105 1.008355776424269e+23
96 12.906187057495117 1.0097111797681224e+23
97 12.754941940307617 1.011032896186763e+23
98 12.606098175048828 1.0123002091219051e+23
99 12.459453582763672 1.013500688638577e+23
100 12.314860343933105 1.0146527094232584e+23
101 12.172170639038086 1.0157620360834723e+23
102 12.031168937683105 1.0168313707789951e+23
103 11.891800880432129 1.017860713509827e+23
104 11.75393295288086 1.0188624942109392e+23
105 11.617496490478516 1.0198325695706748e+23
106 11.482497215270996 1.020777244628512e+23
107 11.348878860473633 1.0216750822502247e+23
108 11.216643333435059 1.0225332881952164e+23
109 11.085888862609863 1.0234684156218436e+23
110 10.956661224365234 1.0245258608143502e+23
111 10.82896614074707 1.025547637497808e+23
112 10.702719688415527 1.0265598665500558e+23
113 10.577820777893066 1.0275731764662142e+23
114 10.454252243041992 1.0285811721348122e+23
115 10.331777572631836 1.0295617859176759e+23
116 10.210312843322754 1.0305011467279528e+23
117 10.089892387390137 1.0314729334555468e+23
118 9.970406532287598 1.0324267057846313e+23
119 9.851788520812988 1.0334044372637335e+23
120 9.734046936035156 1.0344245926513254e+23
121 9.617252349853516 1.0354673561090468e+23
122 9.501426696777344 1.0365366007325771e+23
123 9.386621475219727 1.0375866600216948e+23
124 9.272710800170898 1.03867481976366e+23
125 9.159738540649414 1.0397442445311755e+23
126 9.047618865966797 1.040862398246659e+23
127 8.93628978729248 1.0419323634461297e+23
128 8.825733184814453 1.0430214239080204e+23
129 8.715710639953613 1.0441132766016801e+23
130 8.606040954589844 1.0452503454355986e+23
131 8.496622085571289 1.046333911505944e+23
132 8.387442588806152 1.0474538666612785e+23
133 8.27876091003418 1.0485842701677485e+23
134 8.170604705810547 1.0497438569998038e+23
135 8.063080787658691 1.0509737900580387e+23
136 7.9561262130737305 1.0521715674149342e+23
137 7.849895477294922 1.0534216765994997e+23
138 7.744311809539795 1.0547923921820861e+23
139 7.639380931854248 1.0561070829853081e+23
140 7.53517484664917 1.057434744155457e+23
141 7.431723117828369 1.0588105037696261e+23
142 7.329061985015869 1.0602323802439795e+23
143 7.227502346038818 1.061631738720196e+23
144 7.127085208892822 1.0630266836687778e+23
145 7.027836799621582 1.0644569368384381e+23
146 6.929827690124512 1.0659329465803125e+23
147 6.832935333251953 1.0673941845154092e+23
148 6.737109661102295 1.0688398399957951e+23
149 6.642197132110596 1.0701978554274324e+23
150 6.548250675201416 1.0715093937109152e+23
151 6.455130100250244 1.0727899472289618e+23
152 6.362906455993652 1.0740613134037685e+23
153 6.271453857421875 1.0752655759441273e+23
154 6.180795192718506 1.0764222804724212e+23
155 6.090878963470459 1.0775840290322977e+23
156 6.0016632080078125 1.0786919145406308e+23
157 5.913201332092285 1.0797526023248691e+23
158 5.825389862060547 1.0807543830259814e+23
159 5.738299369812012 1.0817806633090666e+23
160 5.651886940002441 1.0828421617412378e+23
161 5.566130638122559 1.0838249372519226e+23
162 5.481052398681641 1.0847912295879712e+23
163 5.396657466888428 1.085712125639776e+23
164 5.312853813171387 1.0866726533683015e+23
165 5.22974967956543 1.0875003249078197e+23
166 5.147251605987549 1.0884440091737389e+23
167 5.065378665924072 1.0892733920811154e+23
168 4.984097003936768 1.0901624026475584e+23
169 4.903374671936035 1.09116310248476e+23
170 4.823141098022461 1.092128944460846e+23
171 4.743261337280273 1.0932572763114874e+23
172 4.663661003112793 1.0943725477232094e+23
173 4.5842180252075195 1.0956610275766001e+23
174 4.5050835609436035 1.0968452040626209e+23
175 4.4262824058532715 1.0982848247195061e+23
176 4.348045349121094 1.0996855342756109e+23
177 4.270457744598389 1.1011887457592346e+23
178 4.193478584289551 1.1029510042934247e+23
179 4.117062568664551 1.1045679767036358e+23
180 4.041166305541992 1.1064800249614322e+23
181 3.9655470848083496 1.1084032421463045e+23
182 3.8902747631073 1.1103529404969858e+23
183 3.8155927658081055 1.1124107252387239e+23
184 3.741429090499878 1.1143606037333902e+23
185 3.66793155670166 1.1163140851077584e+23
186 3.5952091217041016 1.1183263834932601e+23
187 3.5231971740722656 1.1204495605015877e+23
188 3.4518861770629883 1.1224208761304803e+23
189 3.381275177001953 1.1244182225652191e+23
190 3.3113369941711426 1.1265280689186496e+23
191 3.242100715637207 1.128485693604675e+23
192 3.1735565662384033 1.1306417468902824e+23
193 3.105687379837036 1.1327349299250917e+23
194 3.0384955406188965 1.1351533629249896e+23
195 2.97196888923645 1.137528111008502e+23
196 2.9061532020568848 1.1396881274617815e+23
197 2.8409619331359863 1.1420281978281632e+23
198 2.7764928340911865 1.1444667168823992e+23
199 2.7126786708831787 1.1468859605302301e+23
200 2.649557113647461 1.1493058346820088e+23
201 2.587122917175293 1.1517061632114048e+23
202 2.525292158126831 1.1543441016571408e+23
203 2.464238405227661 1.157034732218517e+23
204 2.4038383960723877 1.1592002430633418e+23
205 2.3440988063812256 1.1619416742285148e+23
206 2.2851569652557373 1.1645359277578653e+23
207 2.226802349090576 1.1671375671906047e+23
208 2.1692261695861816 1.1696030177706124e+23
209 2.1122984886169434 1.1722561783830889e+23
210 2.0561306476593018 1.1745867011182606e+23
211 2.0006308555603027 1.1770271116843401e+23
212 1.9459164142608643 1.1795925421760754e+23
213 1.8918942213058472 1.181882892802571e+23
214 1.838579773902893 1.183927346889412e+23
215 1.7860032320022583 1.1865268245943303e+23
216 1.7341890335083008 1.1887883521832107e+23
217 1.6831121444702148 1.1911482383879528e+23
218 1.632753849029541 1.1931096460976652e+23
219 1.5831608772277832 1.1957112855304046e+23
220 1.5343286991119385 1.1982433893848974e+23
221 1.4862369298934937 1.2001947090314445e+23
222 1.4389111995697021 1.20296946683386e+23
223 1.3923653364181519 1.2055073352958758e+23
224 1.3465793132781982 1.2077593152535462e+23
225 1.3015855550765991 1.2105701018529807e+23
226 1.2573567628860474 1.212666437407529e+23
227 1.2138968706130981 1.2155485610250611e+23
228 1.1712714433670044 1.2184083467884414e+23
229 1.1294084787368774 1.2205628688501754e+23
230 1.0883729457855225 1.2232913296484215e+23
231 1.0481058359146118 1.2266785770001594e+23
232 1.0086755752563477 1.2286205291594816e+23
233 0.9700886011123657 1.2315624605800651e+23
234 0.9322172999382019 1.2344172023118627e+23
235 0.8952550292015076 1.2372669000120777e+23
236 0.8591519594192505 1.2396932593473198e+23
237 0.8237595558166504 1.2427947983386973e+23
238 0.7892338633537292 1.245759968333358e+23
239 0.7555468678474426 1.2477500189367005e+23
240 0.722756564617157 1.2513438914393422e+23
241 0.6907727122306824 1.2542281767846953e+23
242 0.6596466898918152 1.2565118620837424e+23
243 0.6293438673019409 1.2595674643589207e+23
244 0.599881112575531 1.262376089230534e+23
245 0.5713264346122742 1.2654792495177774e+23
246 0.543534517288208 1.268018739275659e+23
247 0.5166404247283936 1.270617496404637e+23
248 0.49063074588775635 1.2739249399709778e+23
249 0.46540239453315735 1.2761151305417607e+23
250 0.4410693645477295 1.2786621863470163e+23
