total_se run lumi
2.002164840698242 321149 1556
1.7937099933624268 321149 1557
1.8816893100738525 321149 1554
1.8334753513336182 321149 1555
3.5217862129211426 321162 22
2.945366859436035 321162 23
1.9631288051605225 321162 34
2.444888114929199 321162 35
2.13008451461792 321162 52
2.5579681396484375 321162 19
2.1958234310150146 321162 20
2.574207305908203 321162 21
2.7073616981506348 321162 24
2.1503405570983887 321162 25
2.739567279815674 321162 26
1.8639583587646484 321162 33
3.370612144470215 321162 27
6.02167272567749 321162 28
3.171760320663452 321162 29
2.4798359870910645 321162 30
2.362820625305176 321162 31
2.2975454330444336 321162 32
3.3450350761413574 321162 36
2.277337074279785 321162 37
2.342367649078369 321162 38
2.452352523803711 321162 39
2.376607894897461 321162 40
2.1804280281066895 321162 41
2.3572001457214355 321162 42
2.1622371673583984 321162 43
2.2885453701019287 321162 44
2.4283838272094727 321162 45
2.4922945499420166 321162 46
2.062772750854492 321162 47
2.21614146232605 321162 48
2.021287202835083 321162 49
2.2384791374206543 321162 50
2.346407890319824 321162 51
1.959155559539795 321164 59
2.060150384902954 321164 60
1.9235022068023682 321164 61
1.9621673822402954 321164 63
2.117140769958496 321164 64
1.8053276538848877 321164 65
4.53569221496582 321261 44
4.561077117919922 321261 45
4.392881870269775 321261 46
4.381325721740723 321261 47
4.012170314788818 321261 52
3.9014768600463867 321261 48
8.743463516235352 321261 49
7.808047771453857 321261 50
5.022830963134766 321261 51
4.692625999450684 321261 53
6.45071268081665 321261 54
8.186162948608398 321261 55
6.178022384643555 321261 56
2.492919683456421 321310 145
2.178699016571045 321310 146
1.8796008825302124 321310 147
2.043818235397339 321310 148
2.3312551975250244 321310 114
1.7731410264968872 321310 115
2.1036477088928223 321310 116
2.192544937133789 321310 133
2.0922536849975586 321310 134
2.424062728881836 321310 135
2.556975841522217 321310 136
2.1257262229919434 321310 117
1.9528385400772095 321310 118
2.4601197242736816 321310 119
2.2620460987091064 321310 120
2.6879472732543945 321310 127
2.0535640716552734 321310 130
2.283928871154785 321310 131
2.1885905265808105 321310 132
2.324561357498169 321310 149
2.164339542388916 321310 150
2.0529582500457764 321310 151
2.3442091941833496 321310 152
2.562317371368408 321310 137
1.898874282836914 321310 138
2.3655776977539062 321310 139
2.4538893699645996 321310 140
1.920135736465454 321310 141
2.2148845195770264 321310 142
2.248386859893799 321310 143
2.394890308380127 321310 144
1.9418046474456787 321310 121
2.102612018585205 321310 122
2.226436138153076 321310 123
2.1167383193969727 321310 124
2.1500072479248047 321310 125
2.508117437362671 321310 126
2.381032705307007 321310 128
1.970978021621704 321310 129
2.189669132232666 321310 153
2.355966567993164 321310 168
2.3862547874450684 321310 169
2.1956582069396973 321310 170
2.4248735904693604 321310 171
1.5035566091537476 321759 3
2.0094187259674072 321759 4
2.2944324016571045 321759 9
1.718982458114624 321759 10
1.9833695888519287 321759 5
1.799514889717102 321759 6
2.0922412872314453 321759 7
1.9552221298217773 321759 8
2.0888824462890625 321781 494
2.0304369926452637 321781 495
1.9563707113265991 321781 661
1.9621652364730835 321781 662
1.6581907272338867 321781 594
1.9189796447753906 321781 595
2.0015439987182617 321781 616
1.807293176651001 321781 617
1.6628921031951904 321781 550
1.8486201763153076 321781 552
2.4308600425720215 321781 542
1.9715226888656616 321781 543
2.166388988494873 321781 442
2.1436195373535156 321781 443
1.9762272834777832 321781 527
1.9038158655166626 321781 529
1.9957289695739746 321781 530
1.8647834062576294 321781 531
1.8957974910736084 321781 506
2.072026252746582 321781 507
2.4204940795898438 321781 508
1.8847639560699463 321781 509
2.083096504211426 321781 463
1.9889675378799438 321781 465
1.9652576446533203 321781 612
2.454836845397949 321781 613
2.1333391666412354 321781 455
2.060699701309204 321781 457
2.0975990295410156 321781 476
2.1298975944519043 321781 477
2.038285493850708 321781 503
2.0589802265167236 321781 505
2.0696301460266113 321781 439
1.9791020154953003 321781 441
1.9153021574020386 321781 448
1.7919923067092896 321781 449
2.1097354888916016 321781 516
2.159820556640625 321781 517
1.8117409944534302 321781 466
2.058197021484375 321781 467
1.9369349479675293 321781 564
1.8941601514816284 321781 565
2.019263982772827 321781 614
1.7996330261230469 321781 615
2.6166744232177734 321781 645
2.8424081802368164 321781 646
2.1788272857666016 321781 647
2.1594085693359375 321781 648
1.839760661125183 321781 583
1.819122552871704 321781 585
1.8765816688537598 321781 604
1.7576537132263184 321781 605
2.007582426071167 321781 544
2.2056493759155273 321781 545
2.2645516395568848 321781 559
2.226945400238037 321781 561
1.9062964916229248 321781 572
2.081993579864502 321781 573
2.268056869506836 321781 590
2.0416312217712402 321781 591
2.000519037246704 321781 436
1.765474557876587 321781 437
1.9612830877304077 321781 434
2.1617932319641113 321781 435
2.061985731124878 321781 538
2.017951250076294 321781 539
2.004859685897827 321781 430
1.8600975275039673 321781 432
1.8577980995178223 321781 438
1.8742855787277222 321781 440
2.044556140899658 321781 578
1.942885160446167 321781 579
1.9812934398651123 321781 548
1.6506104469299316 321781 549
2.0467419624328613 321781 606
2.0274319648742676 321781 608
2.1542935371398926 321781 654
2.0543453693389893 321781 656
2.110485792160034 321781 657
2.271926164627075 321781 658
1.924076795578003 321781 667
1.9696547985076904 321781 668
2.258302688598633 321781 428
1.9684760570526123 321781 429
