total_se run lumi
1.7637126445770264 321781 672
1.7758383750915527 321781 673
1.6881687641143799 321781 674
1.2330598831176758 321781 432
1.213989019393921 321781 433
1.177276611328125 321781 434
1.2787995338439941 321781 443
1.243428111076355 321781 444
1.2481329441070557 321781 449
1.2567657232284546 321781 429
1.263227105140686 321781 430
1.253354549407959 321781 431
1.172000765800476 321781 435
1.1847434043884277 321781 436
1.2607073783874512 321781 437
1.2124401330947876 321781 445
1.195569396018982 321781 446
1.3073052167892456 321781 447
1.2198320627212524 321781 438
1.1517994403839111 321781 439
1.2379170656204224 321781 440
1.3331575393676758 321781 450
1.2403795719146729 321781 451
1.2975293397903442 321781 452
1.267883062362671 321781 456
1.3733617067337036 321781 457
1.3520057201385498 321781 458
1.3164093494415283 321781 495
1.340820550918579 321781 496
1.28492271900177 321781 497
1.2125263214111328 321781 441
1.2242906093597412 321781 442
1.2985005378723145 321781 448
1.332510232925415 321781 498
1.2795757055282593 321781 499
1.4629102945327759 321781 500
1.369075059890747 321781 504
1.3450102806091309 321781 505
1.4167957305908203 321781 506
1.5849941968917847 321781 594
1.5094883441925049 321781 595
1.6070200204849243 321781 596
1.6644302606582642 321781 633
1.649442434310913 321781 634
1.7021585702896118 321781 635
1.2635289430618286 321781 453
1.3596715927124023 321781 454
1.3111670017242432 321781 455
1.374768614768982 321781 477
1.250539779663086 321781 478
1.3272836208343506 321781 483
1.3838822841644287 321781 519
1.361539363861084 321781 520
1.4762353897094727 321781 521
1.5102767944335938 321781 588
1.641083002090454 321781 589
1.4555785655975342 321781 590
1.4564542770385742 321781 591
1.5669337511062622 321781 592
1.5322496891021729 321781 593
1.2561607360839844 321781 465
1.35319185256958 321781 466
1.2635478973388672 321781 467
1.4214608669281006 321781 486
1.2791173458099365 321781 487
1.2993990182876587 321781 488
1.4660807847976685 321781 531
1.45911705493927 321781 532
1.4654638767242432 321781 533
1.4768834114074707 321781 549
1.4208078384399414 321781 550
1.4524314403533936 321781 551
1.6508455276489258 321781 638
1.708604097366333 321781 644
5.565025329589844 321781 645
1.7494523525238037 321781 660
1.7300899028778076 321781 661
1.70206880569458 321781 662
1.4289418458938599 321781 516
1.399479866027832 321781 517
1.407483696937561 321781 518
1.3933017253875732 321781 522
1.447561264038086 321781 523
1.3995916843414307 321781 524
1.4429470300674438 321781 525
1.4590981006622314 321781 526
1.3908581733703613 321781 527
1.4846088886260986 321781 528
1.4654262065887451 321781 529
1.4713544845581055 321781 530
1.4609065055847168 321781 544
1.4484187364578247 321781 545
1.4562039375305176 321781 546
1.5449187755584717 321781 558
1.4833968877792358 321781 559
1.441957712173462 321781 560
1.5238854885101318 321781 585
1.4973914623260498 321781 586
1.6141893863677979 321781 587
1.618855357170105 321781 636
1.6996228694915771 321781 637
1.635509729385376 321781 640
1.7094875574111938 321781 639
5.659468650817871 321781 646
2.85170316696167 321781 647
1.8747477531433105 321781 648
3.696162700653076 321781 649
6.360446929931641 321781 650
1.7429242134094238 321781 666
1.7021420001983643 321781 667
1.7652217149734497 321781 668
1.596321702003479 321781 567
1.4899482727050781 321781 568
1.5110300779342651 321781 569
1.5035803318023682 321781 577
1.5720340013504028 321781 578
1.4973864555358887 321781 579
1.5520260334014893 321781 582
1.546519160270691 321781 583
1.6218976974487305 321781 584
1.5564706325531006 321781 597
1.5882102251052856 321781 598
1.5739747285842896 321781 599
1.5295021533966064 321781 603
1.5760209560394287 321781 608
1.6265156269073486 321781 609
1.5665462017059326 321781 604
1.5682724714279175 321781 605
1.571327567100525 321781 606
1.5840984582901 321781 607
1.5793051719665527 321781 610
1.6550698280334473 321781 611
1.6917107105255127 321781 627
1.654175043106079 321781 628
1.614449381828308 321781 629
1.715717077255249 321781 630
1.6730127334594727 321781 631
1.6647419929504395 321781 632
1.681239128112793 321781 669
1.7404546737670898 321781 670
1.689918041229248 321781 671
1.6723862886428833 321781 612
1.5844088792800903 321781 613
1.6621487140655518 321781 614
1.5806217193603516 321781 615
1.6537808179855347 321781 616
1.6101837158203125 321781 617
1.5952378511428833 321781 624
1.6577117443084717 321781 625
1.619917631149292 321781 626
1.7206255197525024 321781 641
1.7025947570800781 321781 642
1.6930158138275146 321781 643
3.7441580295562744 321781 654
1.8359204530715942 321781 655
2.8084137439727783 321781 656
1.7585546970367432 321781 663
1.7557975053787231 321781 664
1.7712655067443848 321781 665
0.9502995610237122 321794 32
0.8013420701026917 321794 33
0.9318411946296692 321794 34
3.4517018795013428 321794 37
3.512387752532959 321794 40
1.3661375045776367 321794 41
1.8506102561950684 321794 43
3.0800485610961914 321794 44
4.7826056480407715 321794 45
1.6053500175476074 321794 35
2.742525577545166 321794 36
3.5684144496917725 321794 47
1.1507515907287598 321794 50
2.1832499504089355 321794 51
3.0981380939483643 321794 121
4.122526168823242 321794 38
5.217526912689209 321794 39
3.457526683807373 321794 42
3.165648937225342 321794 76
3.0413577556610107 321794 77
2.9495584964752197 321794 80
5.242956161499023 321794 46
0.9074952006340027 321794 48
